id,docnumber,customername,itemname,transactiontype,InternalIndex,customerid,txndate,amt,isontheincentiveprogram,regionalsalesmanagername,industry,qty,Unit_Name,qtykg,qtypallets,itemid
23577,5164,MTS Foods & Spices Pty Ltd,Knoxx Tomato Puree A10,Invoice,2,104,22-01-2024,1728,TRUE,Sutan,Distributor,48,Carton,835.2,1,2
23577,5164,MTS Foods & Spices Pty Ltd,FoodKraft Fried Onion coated,Invoice,3,104,22-01-2024,1800,TRUE,Sutan,Distributor,300,Kg,300,0.625,107
23577,5164,MTS Foods & Spices Pty Ltd,Knoxx Tomato Paste A10 (6*3kg),Invoice,1,104,22-01-2024,2496,TRUE,Sutan,Distributor,48,Carton,864,1,3
24167,5268,MTS Foods & Spices Pty Ltd,FoodKraft Dehydrated Potato Flakes Premium 250,Invoice,1,104,19-02-2024,500,TRUE,Sutan,Distributor,100,Kg,100,0.2,123
24456,5312,MTS Foods & Spices Pty Ltd,Knoxx Crushed Tomatoes A9,Invoice,1,104,04-03-2024,2520,TRUE,Sutan,Distributor,56,Carton,840,1,85
24648,5343,MTS Foods & Spices Pty Ltd,FoodKraft Dehydrated Potato Flakes Premium 250,Invoice,1,104,12-03-2024,500,TRUE,Sutan,Distributor,100,Kg,100,0.2,123
25502,5483,MTS Foods & Spices Pty Ltd,Knoxx Crushed Tomatoes A9,Invoice,1,104,18-04-2024,2408,TRUE,Sutan,Distributor,56,Carton,840,1,85
26324,5635,MTS Foods & Spices Pty Ltd,Knoxx Tomato Paste A10 (6*3kg),Invoice,1,104,29-05-2024,2496,TRUE,Sutan,Distributor,48,Carton,864,1,3
26516,5670,MTS Foods & Spices Pty Ltd,FoodKraft Dehydrated Potato Flakes Premium 250,Invoice,1,104,04-06-2024,480,TRUE,Sutan,Distributor,100,Kg,100,0.2,123
26844,5725,MTS Foods & Spices Pty Ltd,FoodKraft Dehydrated Potato Flakes Premium 250,Invoice,1,104,19-06-2024,192,TRUE,Sutan,Distributor,40,Kg,40,0.08,123
26859,5730,MTS Foods & Spices Pty Ltd,FoodKraft Dehydrated Potato Flakes Premium 250,Invoice,1,104,27-06-2024,528,TRUE,Sutan,Distributor,110,Kg,110,0.22,123
27057,5754,MTS Foods & Spices Pty Ltd,Knoxx Crushed Tomatoes A9,Invoice,1,104,27-06-2024,2408,TRUE,Sutan,Distributor,56,Carton,840,1,85
27057,5754,MTS Foods & Spices Pty Ltd,Knoxx Tomato Extra Rich Puree A10,Invoice,2,104,27-06-2024,1080,TRUE,Sutan,Distributor,30,Carton,522,0.625,95
27057,5754,MTS Foods & Spices Pty Ltd,Coconoxx (HF) Fine Desiccated Coconut- SF,Invoice,3,104,27-06-2024,179.16,TRUE,Sutan,Distributor,4,11.34 kg or 25 lb bag,45.36,0.083333333,116
27096,5770,MTS Foods & Spices Pty Ltd,Rawayat Creamy Sella Rice 20kg,Adjustment Notes,,104,28-06-2024,-550,TRUE,Sutan,Distributor,,,,,81
28475,6024,MTS Foods & Spices Pty Ltd,Knoxx Crushed Tomatoes A9,Invoice,2,104,26-08-2024,2408,TRUE,Sutan,Distributor,56,Carton,840,1,85
28475,6024,MTS Foods & Spices Pty Ltd,Knoxx Tomato Paste A10 (6*3kg),Invoice,1,104,26-08-2024,2496,TRUE,Sutan,Distributor,48,Carton,864,1,3
